CREDITI,32
Ruolo,Codice,Nuovo,Valore,Giorn_Acq
P,244,0,1,1
P,469,0,32,1
P,176,0,1,1
D,378,0,7,1
D,455,0,5,1
D,249,0,12,1
D,198,0,10,1
D,706,0,23,1
D,148,0,7,1
D,154,0,4,1
D,155,0,7,1
C,696,0,10,1
C,161,0,14,1
C,189,0,1,1
C,64,0,8,1
C,65,0,15,1
C,298,0,1,1
C,144,0,7,1
C,24,0,19,1
A,403,0,15,1
A,300,0,62,1
A,168,0,67,1
A,140,0,260,1
A,116,0,51,1
A,308,0,1,1

