CREDITI,130
Ruolo,Codice,Nuovo,Valore,Giorn_Acq
P,477,0,4,1
P,40,0,1,1
P,727,0,1,1
D,373,0,18,1
D,190,0,19,1
D,485,0,5,1
D,199,0,7,1
D,465,0,1,1
D,546,0,1,1
D,211,0,10,1
D,184,0,3,1
C,134,0,59,1
C,188,0,1,1
C,195,0,36,1
C,519,0,8,1
C,200,0,39,1
C,202,0,1,1
C,72,0,11,1
C,499,0,6,1
A,398,0,15,1
A,381,0,1,1
A,335,0,59,1
A,656,0,71,1
A,209,0,62,1
A,80,0,7,1

