CREDITI,51
Ruolo,Codice,Nuovo,Valore,Giorn_Acq
P,57,0,1,1
P,380,0,3,1
P,120,0,1,1
D,290,0,18,1
D,451,0,1,1
D,165,0,1,1
D,299,0,17,1
D,402,0,3,1
D,714,0,14,1
D,46,0,4,1
D,317,0,8,1
C,11,0,1,1
C,661,0,10,1
C,142,0,77,1
C,143,0,3,1
C,44,0,43,1
C,304,0,6,1
C,234,0,58,1
C,584,0,33,1
A,294,0,216,1
A,86,0,50,1
A,560,0,101,1
A,337,0,1,1
A,494,0,24,1
A,447,0,1,1

