CREDITI,2
Ruolo,Codice,Nuovo,Valore,Giorn_Acq
P,291,0,12,1
P,260,0,1,1
P,359,0,1,1
D,454,0,1,1
D,461,0,10,1
D,225,0,49,1
D,175,0,24,1
D,358,0,5,1
D,411,0,4,1
D,592,0,3,1
D,29,0,2,1
C,4,0,7,1
C,453,0,9,1
C,328,0,6,1
C,679,0,11,1
C,334,0,15,1
C,122,0,69,1
C,213,0,30,1
C,710,0,10,1
A,345,0,21,1
A,349,0,45,1
A,252,0,41,1
A,333,0,276,1
A,229,0,12,1
A,530,0,31,1

