STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
413,P,SORRENTINO,PALERMO,13,1,0,0,19,0,0,0,0,0,0,0,0,6.62,0,5.12,5.12
218,P,PERIN,GENOA,7,1,0,0,12,0,0,0,0,0,0,0,0,6.57,0,4.79,4.79
250,P,HANDANOVIC,INTER,14,3,0,0,9,0,0,0,0,0,0,0,0,6.5,0,5.75,5.75
191,P,ZAPPINO,FROSINONE,1,0,0,0,4,0,0,0,0,0,0,0,0,6.5,0,2.5,2.5
350,P,DONNARUMMA G,MILAN,6,0,0,0,4,0,0,0,0,0,0,0,0,6.42,0,5.75,5.75
387,P,REINA,NAPOLI,14,0,0,0,9,0,0,0,0,0,0,0,0,6.39,0,5.75,5.75
450,P,DE SANCTIS,ROMA,4,0,0,0,7,0,0,0,1,0,0,0,0,6.38,0,5.38,5.38
282,P,BUFFON,JUVENTUS,13,1,0,0,10,0,0,0,0,0,0,0,0,6.38,0,5.58,5.58
188,P,LEALI,FROSINONE,13,1,0,0,20,0,0,0,1,0,0,0,0,6.35,0,5,5
4,P,SPORTIELLO,ATALANTA,14,1,0,0,15,0,0,0,2,0,0,0,0,6.32,0,5.64,5.64
570,P,KARNEZIS,UDINESE,14,0,0,0,17,0,0,0,0,0,0,0,0,6.29,0,5.07,5.07
510,P,PEGOLO,SASSUOLO,2,1,0,0,2,0,0,0,0,0,0,0,0,6.25,0,5,5
160,P,TATARUSANU,FIORENTINA,14,1,0,0,11,0,0,0,0,0,0,0,0,6.25,0,5.43,5.43
509,P,CONSIGLI,SASSUOLO,13,1,1,0,11,0,0,0,1,0,0,0,0,6.23,0,5.5,5.5
41,P,MIRANTE,BOLOGNA,12,1,0,0,17,0,0,0,0,0,0,0,0,6.21,0,4.75,4.75
453,P,SZCZESNY,ROMA,10,1,0,0,10,0,0,0,0,0,0,0,0,6.2,0,5.15,5.15
133,P,SKORUPSKI,EMPOLI,14,1,0,0,20,0,0,0,0,0,0,0,0,6.18,0,4.71,4.71
95,P,BIZZARRI,CHIEVO,14,1,0,0,16,0,0,0,0,0,0,0,0,6.14,0,4.96,4.96
217,P,LAMANNA,GENOA,7,0,0,0,7,0,0,0,0,0,0,1,0,6.14,0,4.86,4.86
484,P,VIVIANO,SAMPDORIA,14,0,0,0,22,0,0,0,1,0,0,0,0,6.14,0,4.79,4.79
543,P,PADELLI,TORINO,14,1,0,0,18,0,0,0,0,0,0,1,0,6.07,0,4.61,4.61
318,P,MARCHETTI,LAZIO,12,0,0,0,17,0,0,0,0,0,0,0,0,6.04,0,4.63,4.63
412,P,COLOMBI,PALERMO,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
158,P,LEZZERINI,FIORENTINA,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
68,P,BENUSSI,CARPI,4,0,0,0,3,0,0,0,0,0,0,0,0,6,0,5.25,5.25
40,P,DA COSTA,BOLOGNA,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,5,5
316,P,BERISHA,LAZIO,3,0,0,0,5,0,0,0,0,0,0,0,0,5.83,0,4.17,4.17
720,P,BELEC,CARPI,7,1,0,0,11,0,0,0,0,0,0,0,0,5.71,0,4.07,4.07
610,P,GOLLINI,VERONA,3,1,0,0,6,0,0,0,0,0,0,0,0,5.67,0,3.5,3.5
611,P,RAFAEL,VERONA,12,0,1,0,18,0,0,0,0,0,0,0,0,5.63,0,4.04,4.04
352,P,DIEGO LOPEZ,MILAN,8,1,0,0,14,0,0,0,0,0,0,0,0,5.56,0,3.75,3.75
69,P,BRKIC,CARPI,4,0,0,0,12,0,0,0,0,0,0,0,0,5.13,0,2.13,2.13
283,P,NETO,JUVENTUS,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,4,4
408,A,HIGUAIN,NAPOLI,14,0,0,12,0,2,2,0,0,0,0,0,7,7.07,0,9.64,9.79
382,A,NIANG,MILAN,3,0,0,1,0,1,1,0,0,0,1,0,1,6.83,0,8.83,9.17
652,A,KALINIC,FIORENTINA,13,1,0,9,0,2,2,0,0,0,0,0,1,6.81,1,8.85,9
409,A,INSIGNE,NAPOLI,14,1,0,7,0,4,4,0,0,0,0,0,1,6.71,0,8.18,8.46
478,A,LJAJIC,INTER,5,1,0,1,0,3,3,0,0,0,0,0,0,6.7,0,7.2,7.8
184,A,BERNARDESCHI,FIORENTINA,11,3,0,0,0,1,1,0,0,0,0,0,0,6.64,0,6.5,6.59
608,A,ZAPATA D,UDINESE,6,1,0,3,0,0,0,0,0,0,0,0,1,6.58,0,8,8
722,A,BORRIELLO,CARPI,8,1,1,3,0,2,2,0,0,0,0,0,0,6.5,0,7.44,7.69
278,A,JOVETIC,INTER,10,0,0,2,0,2,2,0,0,0,1,0,2,6.5,0,7.4,7.6
213,A,DIONISI,FROSINONE,11,5,0,4,0,2,2,0,0,0,0,0,2,6.45,0,7.32,7.5
474,A,GERVINHO,ROMA,10,0,0,6,0,1,1,0,0,0,0,0,2,6.45,0,8.25,8.35
124,A,MEGGIORINI,CHIEVO,12,6,0,3,0,4,4,0,0,0,0,0,2,6.42,0,6.92,7.25
123,A,INGLESE,CHIEVO,5,1,0,3,0,0,0,0,0,0,0,0,0,6.4,1,8.1,8.1
309,A,DYBALA,JUVENTUS,12,1,0,4,0,3,3,0,0,0,2,0,3,6.38,1,7.83,8.08
696,A,BALOTELLI,MILAN,4,1,0,1,0,0,0,0,0,0,0,0,0,6.38,0,7,7
506,A,EDER,SAMPDORIA,14,2,0,7,0,2,2,0,0,0,3,0,1,6.36,2,8.43,8.57
183,A,BABACAR,FIORENTINA,6,0,0,3,0,1,1,0,0,0,1,0,2,6.33,0,8.33,8.5
646,A,SALAH,ROMA,11,0,1,5,0,0,0,0,0,0,0,0,0,6.32,1,7.59,7.59
243,A,GAKPE',GENOA,8,1,0,3,0,2,2,0,0,0,0,0,0,6.25,1,7.31,7.56
38,A,MONACHELLO,ATALANTA,2,1,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6,6
315,A,ZAZA,JUVENTUS,4,2,0,2,0,0,0,0,0,0,0,0,0,6.25,0,7.5,7.5
647,A,DZEKO,ROMA,11,2,0,1,0,0,0,0,0,0,2,0,2,6.23,0,6.95,6.95
345,A,KEITA B,LAZIO,9,1,0,1,0,1,1,0,0,0,0,0,1,6.22,0,6.5,6.61
410,A,MERTENS,NAPOLI,7,1,0,1,0,0,0,0,0,0,0,0,0,6.21,0,6.57,6.57
126,A,PALOSCHI,CHIEVO,14,0,0,5,0,1,1,0,0,0,0,0,0,6.21,0,7.29,7.36
276,A,BIABIANY,INTER,7,1,0,1,0,1,1,0,0,0,0,0,1,6.21,0,6.57,6.71
534,A,FLORO FLORES,SASSUOLO,8,0,0,3,0,2,2,0,0,0,0,0,1,6.19,1,7.31,7.56
186,A,REBIC,FIORENTINA,3,2,0,1,0,0,0,0,0,0,0,0,0,6.17,0,6.83,6.83
187,A,ROSSI,FIORENTINA,6,1,0,0,0,1,1,0,0,0,0,0,0,6.17,0,6.08,6.25
153,A,MACCARONE,EMPOLI,13,2,0,3,0,1,1,0,0,0,0,0,2,6.15,0,6.77,6.85
247,A,PAVOLETTI,GENOA,10,1,1,5,0,0,0,0,0,0,0,0,2,6.15,0,7.5,7.5
537,A,SANSONE N,SASSUOLO,13,5,0,3,0,0,0,0,0,1,0,0,3,6.12,0,6.38,6.38
533,A,FLOCCARI,SASSUOLO,5,1,0,2,0,0,0,0,0,0,0,0,1,6.1,1,7.2,7.2
638,A,TONI,VERONA,5,1,0,0,0,0,0,0,0,0,1,0,0,6.1,0,6.6,6.6
568,A,QUAGLIARELLA,TORINO,13,0,0,4,0,0,0,0,0,0,0,0,2,6.08,0,7,7
212,A,CIOFANI D,FROSINONE,12,0,0,2,0,0,0,0,0,0,1,0,0,6.08,0,6.83,6.83
