STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
218,P,PERIN,GENOA,7,1,0,0,12,0,0,0,0,0,0,0,0,6.5,0,4.71,4.71
510,P,PEGOLO,SASSUOLO,2,1,0,0,2,0,0,0,0,0,0,0,0,6.5,0,5.25,5.25
413,P,SORRENTINO,PALERMO,13,1,0,0,19,0,0,0,0,0,0,0,0,6.46,0,4.96,4.96
95,P,BIZZARRI,CHIEVO,14,1,0,0,16,0,0,0,0,0,0,0,0,6.46,0,5.29,5.29
250,P,HANDANOVIC,INTER,14,3,0,0,9,0,0,0,0,0,0,0,0,6.39,0,5.64,5.64
387,P,REINA,NAPOLI,14,0,0,0,9,0,0,0,0,0,0,0,0,6.29,0,5.64,5.64
188,P,LEALI,FROSINONE,13,1,0,0,20,0,0,0,1,0,0,0,0,6.27,0,4.92,4.92
350,P,DONNARUMMA G,MILAN,6,0,0,0,4,0,0,0,0,0,0,0,0,6.25,0,5.58,5.58
453,P,SZCZESNY,ROMA,10,1,0,0,10,0,0,0,0,0,0,0,0,6.25,0,5.2,5.2
160,P,TATARUSANU,FIORENTINA,14,1,0,0,11,0,0,0,0,0,0,0,0,6.21,0,5.39,5.39
4,P,SPORTIELLO,ATALANTA,14,1,0,0,15,0,0,0,2,0,0,0,0,6.18,0,5.5,5.5
316,P,BERISHA,LAZIO,3,0,0,0,5,0,0,0,0,0,0,0,0,6.17,0,4.5,4.5
133,P,SKORUPSKI,EMPOLI,14,1,0,0,20,0,0,0,0,0,0,0,0,6.14,0,4.68,4.68
484,P,VIVIANO,SAMPDORIA,14,0,0,0,22,0,0,0,1,0,0,0,0,6.14,0,4.79,4.79
570,P,KARNEZIS,UDINESE,14,0,0,0,17,0,0,0,0,0,0,0,0,6.14,0,4.93,4.93
41,P,MIRANTE,BOLOGNA,12,1,0,0,17,0,0,0,0,0,0,0,0,6.13,0,4.67,4.67
282,P,BUFFON,JUVENTUS,13,1,0,0,10,0,0,0,0,0,0,0,0,6.12,0,5.31,5.31
217,P,LAMANNA,GENOA,7,0,0,0,7,0,0,0,0,0,0,1,0,6.07,0,4.79,4.79
318,P,MARCHETTI,LAZIO,12,0,0,0,17,0,0,0,0,0,0,0,0,6.04,0,4.63,4.63
509,P,CONSIGLI,SASSUOLO,13,1,1,0,11,0,0,0,1,0,0,0,0,6.04,0,5.31,5.31
450,P,DE SANCTIS,ROMA,4,0,0,0,7,0,0,0,1,0,0,0,0,6,0,5,5
412,P,COLOMBI,PALERMO,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
40,P,DA COSTA,BOLOGNA,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,5,5
158,P,LEZZERINI,FIORENTINA,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
191,P,ZAPPINO,FROSINONE,1,0,0,0,4,0,0,0,0,0,0,0,0,6,0,2,2
352,P,DIEGO LOPEZ,MILAN,8,1,0,0,14,0,0,0,0,0,0,0,0,5.94,0,4.13,4.13
543,P,PADELLI,TORINO,14,1,0,0,18,0,0,0,0,0,0,1,0,5.89,0,4.43,4.43
611,P,RAFAEL,VERONA,12,0,1,0,18,0,0,0,0,0,0,0,0,5.79,0,4.21,4.21
68,P,BENUSSI,CARPI,4,0,0,0,3,0,0,0,0,0,0,0,0,5.75,0,5,5
720,P,BELEC,CARPI,7,1,0,0,12,0,0,0,0,0,0,0,0,5.71,0,3.93,3.93
610,P,GOLLINI,VERONA,3,1,0,0,6,0,0,0,0,0,0,0,0,5.67,0,3.5,3.5
283,P,NETO,JUVENTUS,1,0,0,0,1,0,0,0,0,0,0,0,0,5.5,0,4.5,4.5
69,P,BRKIC,CARPI,4,0,0,0,12,0,0,0,0,0,0,0,0,5.13,0,2.13,2.13
408,A,HIGUAIN,NAPOLI,14,0,0,12,0,2,2,0,0,0,0,0,7,7,0,9.57,9.71
382,A,NIANG,MILAN,3,0,0,1,0,1,1,0,0,0,1,0,1,6.83,0,8.83,9.17
177,A,ILICIC,FIORENTINA,9,1,0,0,0,3,3,0,0,0,4,0,2,6.83,0,8.11,8.44
696,A,BALOTELLI,MILAN,4,1,0,1,0,0,0,0,0,0,0,0,0,6.75,0,7.38,7.38
652,A,KALINIC,FIORENTINA,13,1,0,9,0,1,1,0,0,0,0,0,1,6.69,1,8.73,8.81
474,A,GERVINHO,ROMA,10,0,0,6,0,1,1,0,0,0,0,0,2,6.55,0,8.35,8.45
123,A,INGLESE,CHIEVO,5,1,0,3,0,1,1,0,0,0,0,0,0,6.5,1,8.2,8.4
124,A,MEGGIORINI,CHIEVO,13,6,0,3,0,4,4,0,0,0,0,0,2,6.5,0,6.96,7.27
608,A,ZAPATA D,UDINESE,6,1,0,3,0,0,0,0,0,0,0,0,1,6.5,0,7.92,7.92
409,A,INSIGNE,NAPOLI,14,1,0,7,0,4,4,0,0,0,0,0,1,6.43,0,7.89,8.18
278,A,JOVETIC,INTER,10,0,0,2,0,1,1,0,0,0,1,0,2,6.4,0,7.3,7.4
309,A,DYBALA,JUVENTUS,12,1,0,4,0,3,3,0,0,0,2,0,3,6.38,1,7.83,8.08
506,A,EDER,SAMPDORIA,14,2,0,7,0,1,1,0,0,0,3,0,1,6.36,2,8.43,8.5
722,A,BORRIELLO,CARPI,9,1,1,3,0,2,2,0,0,0,0,0,0,6.33,0,7.17,7.39
478,A,LJAJIC,INTER,7,1,0,1,0,3,3,0,0,0,0,0,0,6.29,0,6.64,7.07
534,A,FLORO FLORES,SASSUOLO,9,0,0,3,0,1,1,0,0,0,0,0,1,6.28,1,7.28,7.39
184,A,BERNARDESCHI,FIORENTINA,11,3,0,0,0,1,1,0,0,0,0,0,0,6.27,0,6.14,6.23
276,A,BIABIANY,INTER,6,1,0,1,0,1,1,0,0,0,0,0,1,6.25,0,6.67,6.83
345,A,KEITA B,LAZIO,9,1,0,1,0,1,1,0,0,0,0,0,1,6.22,0,6.5,6.61
183,A,BABACAR,FIORENTINA,7,0,0,3,0,1,1,0,0,0,1,0,2,6.21,0,7.93,8.07
243,A,GAKPE',GENOA,8,1,0,3,0,1,1,0,0,0,0,0,0,6.19,1,7.25,7.38
213,A,DIONISI,FROSINONE,11,5,0,4,0,2,2,0,0,0,0,0,2,6.18,0,7.05,7.23
126,A,PALOSCHI,CHIEVO,14,0,0,5,0,0,0,0,0,0,0,0,0,6.18,0,7.25,7.25
646,A,SALAH,ROMA,11,0,1,5,0,0,0,0,0,0,0,0,0,6.14,1,7.41,7.41
153,A,MACCARONE,EMPOLI,13,2,0,3,0,1,1,0,0,0,0,0,2,6.12,0,6.73,6.81
247,A,PAVOLETTI,GENOA,10,1,1,5,0,1,1,0,0,0,0,0,2,6.1,0,7.45,7.55
533,A,FLOCCARI,SASSUOLO,5,1,0,2,0,0,0,0,0,0,0,0,2,6.1,0,7.2,7.2
92,A,MATOS,CARPI,14,1,0,2,0,1,1,0,0,1,0,0,1,6.07,0,6.25,6.32
