STATISTICHE UFFICIALI 2013/2014,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
560,A,GERVINHO,ROMA,33,2,0,9,0,9,9,0,0,0,0,0,2,6.39,0,7.18,7.45
349,A,CASSANO,PARMA,32,5,0,11,0,6,5,1,0,2,1,0,2,6.36,1,7.22,7.41
656,A,ITURBE,VERONA HELLAS,33,4,0,8,0,4,4,0,0,0,0,0,2,6.35,0,7.02,7.14
397,A,TOTTI,ROMA,25,3,0,6,0,6,4,2,0,0,2,0,2,6.34,0,7.24,7.48
209,A,PALACIO,INTER,37,4,0,17,0,5,5,0,0,0,0,0,6,6.34,0,7.66,7.8
530,A,TONI,VERONA HELLAS,34,4,0,17,0,5,5,0,0,0,3,0,7,6.32,0,8.03,8.18
363,A,OKAKA,SAMPDORIA,14,4,0,5,0,3,3,0,0,0,0,0,3,6.29,0,7.21,7.43
632,A,KEITA,LAZIO,22,2,0,5,0,2,2,0,0,0,0,0,0,6.27,0,6.91,7
637,A,REBIC,FIORENTINA,2,0,0,1,0,0,0,0,0,0,0,0,0,6.25,0,7.75,7.75
226,A,LLORENTE,JUVENTUS,32,3,0,16,0,3,3,0,0,0,0,0,6,6.23,1,7.69,7.78
427,A,BERARDI D.,SASSUOLO,29,10,1,10,0,4,1,3,0,0,6,0,3,6.21,1,7.66,7.79
403,A,EDER,SAMPDORIA,33,7,1,9,0,5,5,0,0,0,3,0,3,6.18,1,7.14,7.29
369,A,SANSONE N.,SASSUOLO,25,2,0,7,0,6,3,3,0,0,0,0,3,6.18,1,6.98,7.22
335,A,INSIGNE,NAPOLI,32,2,0,3,0,4,4,0,0,0,0,0,0,6.11,0,6.36,6.48
716,A,OBINNA,CHIEVO,9,0,0,2,0,0,0,0,0,0,0,0,1,6.11,0,6.78,6.78
482,A,DI NATALE,UDINESE,30,1,0,13,0,0,0,0,0,2,4,0,6,6.1,3,7.58,7.58
197,A,ICARDI,INTER,20,1,0,9,0,1,1,0,0,0,0,0,3,6.1,0,7.42,7.47
16,A,DENIS,ATALANTA,37,3,0,11,0,4,4,0,0,1,2,0,3,6.08,1,7.01,7.12
406,A,GABBIADINI,SAMPDORIA,34,6,0,8,0,4,2,2,0,0,0,0,0,6.07,1,6.69,6.81
223,A,GIOVINCO,JUVENTUS,9,2,0,2,0,1,1,0,0,0,0,0,1,6.06,0,6.61,6.72
236,A,QUAGLIARELLA,JUVENTUS,10,1,0,1,0,0,0,0,0,0,0,0,0,6.05,0,6.3,6.3
70,A,IBARBO,CAGLIARI,29,6,1,4,0,1,1,0,0,1,0,0,2,6.05,1,6.22,6.26
345,A,AMAURI,PARMA,25,1,2,6,0,0,0,0,0,1,2,0,3,6.04,0,6.78,6.78
168,A,GILARDINO,GENOA,35,8,0,11,0,0,0,0,0,3,4,0,4,6.03,2,6.94,6.94
144,A,LJAJIC,ROMA,25,5,0,5,0,5,4,1,0,0,1,0,1,6.02,0,6.64,6.84
339,A,PANDEV,NAPOLI,24,3,0,7,0,3,3,0,0,1,0,0,2,6.02,0,6.71,6.83
294,A,BALOTELLI,MILAN,29,9,1,11,0,4,3,1,0,2,3,0,5,6.02,2,7.07,7.21
278,A,DIONISI,LIVORNO,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
414,A,POZZI,PARMA,8,1,0,1,0,2,2,0,0,0,1,0,1,6,0,6.69,6.94
501,A,RANEGIE,UDINESE,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
105,A,ACOSTY,CHIEVO,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
14,A,DE LUCA,ATALANTA,14,2,0,4,0,2,2,0,0,0,0,0,2,6,2,6.79,6.93
