STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
158,P,PERIN,GENOA,14,0,0,0,12,0,0,0,1,0,0,0,0,6.61,0,5.96,5.96
759,P,KARNEZIS,UDINESE,14,0,0,0,18,0,0,0,1,0,0,0,0,6.54,0,5.46,5.46
159,P,BIZZARRI,CHIEVO,5,0,0,0,2,0,0,0,0,0,0,0,0,6.5,0,6.1,6.1
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.5,0,5.5,5.5
51,P,LEALI,CESENA,12,0,1,0,21,0,0,0,1,0,0,0,0,6.38,0,4.79,4.79
3,P,SPORTIELLO,ATALANTA,14,1,0,0,15,0,0,0,2,0,0,0,0,6.36,0,5.68,5.68
712,P,VIVIANO,SAMPDORIA,7,0,0,0,2,0,0,0,0,0,0,0,0,6.36,0,6.07,6.07
740,P,DIEGO LOPEZ,MILAN,7,1,0,0,11,0,0,0,1,0,0,0,0,6.29,0,5.07,5.07
125,P,NETO,FIORENTINA,14,2,0,0,11,0,0,0,0,0,0,0,0,6.29,0,5.43,5.43
406,P,ROMERO,SAMPDORIA,8,0,0,0,9,0,0,0,1,0,0,0,0,6.25,0,5.5,5.5
514,P,RAFAEL,VERONA,12,0,0,0,21,0,0,0,1,0,0,0,0,6.25,0,4.75,4.75
457,P,GILLET,TORINO,10,0,0,0,13,0,0,0,0,0,0,0,0,6.2,0,4.9,4.9
106,P,SEPE,EMPOLI,10,0,0,0,11,0,0,0,0,0,0,1,0,6.2,0,4.9,4.9
211,P,BUFFON,JUVENTUS,13,0,0,0,4,0,0,0,1,0,0,0,0,6.19,0,6.12,6.12
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
240,P,MARCHETTI,LAZIO,10,3,0,0,11,0,0,0,0,0,0,0,0,6.15,0,4.9,4.9
183,P,HANDANOVIC,INTER,14,0,0,0,21,0,0,0,3,0,0,0,0,6.14,0,5.29,5.29
324,P,SORRENTINO,PALERMO,14,1,0,0,22,0,0,0,0,0,0,0,0,6.14,0,4.54,4.54
376,P,DE SANCTIS,ROMA,12,0,0,0,8,0,0,0,0,0,0,0,0,6.13,0,5.46,5.46
