STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
510,A,DI NATALE,UDINESE,23,4,0,10,0,4,3,1,0,0,0,0,2,6.22,0,7.43,7.61
538,A,TONI,VERONA,28,2,0,10,0,2,2,0,0,1,3,0,2,6.21,1,7.46,7.54
292,A,MENEZ,MILAN,28,3,0,7,0,3,2,1,0,0,8,0,4,6.2,1,7.75,7.86
47,A,IBARBO,ROMA,13,4,1,2,0,2,2,0,0,0,0,0,0,6.19,0,6.42,6.58
709,A,OSVALDO,INTER,8,1,0,5,0,1,1,0,0,0,0,0,1,6.19,0,8,8.13
266,A,KLOSE,LAZIO,19,2,0,8,0,3,3,0,0,0,0,0,3,6.18,0,7.39,7.55
153,A,BABACAR,FIORENTINA,18,2,0,7,0,1,1,0,0,1,0,0,4,6.17,1,7.11,7.17
238,A,MORATA,JUVENTUS,21,4,1,7,0,3,3,0,0,0,0,0,1,6.17,0,7.02,7.17
293,A,NIANG,GENOA,10,2,0,3,0,1,1,0,0,0,0,0,1,6.15,0,6.95,7.05
512,A,MURIEL,SAMPDORIA,14,0,0,3,0,2,1,1,0,0,0,0,0,6.14,0,6.79,6.93
318,A,HIGUAIN,NAPOLI,27,4,0,11,0,3,3,0,0,2,2,0,6,6.13,1,7.28,7.39
427,A,OKAKA,SAMPDORIA,27,5,0,4,0,2,2,0,0,0,0,0,2,6.13,0,6.48,6.56
209,A,ICARDI,INTER,26,4,0,12,0,2,2,0,0,0,3,0,5,6.12,2,7.77,7.85
49,A,PINILLA,ATALANTA,18,6,0,5,0,1,1,0,0,1,0,0,3,6.08,0,6.58,6.64
454,A,ZAZA,SASSUOLO,22,10,0,7,0,1,1,0,0,0,1,0,1,6.07,0,6.93,6.98
895,A,M'POKU,CAGLIARI,7,1,0,1,0,0,0,0,0,0,0,0,0,6.07,0,6.43,6.43
182,A,MATRI,JUVENTUS,17,2,0,7,0,2,2,0,0,1,0,0,3,6.06,1,7.06,7.18
122,A,MACCARONE,EMPOLI,25,3,0,6,0,3,3,0,0,0,1,0,3,6.06,1,6.84,6.96
403,A,TOTTI,ROMA,19,4,0,3,0,4,3,1,0,0,2,0,0,6.05,1,6.74,6.95
811,A,CODA M.,PARMA,11,1,0,2,0,1,1,0,0,0,0,0,0,6.05,0,6.55,6.64
290,A,EL SHAARAWY,MILAN,14,2,0,1,0,3,3,0,0,0,0,0,0,6.04,0,6.18,6.39
449,A,BERARDI,SASSUOLO,23,9,1,4,0,5,4,1,0,1,4,0,0,6.02,0,6.7,6.91
401,A,LJAJIC,ROMA,24,1,0,7,0,2,2,0,0,1,1,0,0,6,2,6.85,6.94
402,A,SANABRIA,ROMA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
373,A,CASSANO,PARMA,19,1,0,4,0,2,2,0,0,0,1,0,1,6,0,6.76,6.87
264,A,DJORDJEVIC,LAZIO,19,1,0,7,0,1,1,0,0,0,0,0,2,6,0,7.08,7.13
121,A,AGUIRRE,UDINESE,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
154,A,BERNARDESCHI,FIORENTINA,5,1,0,0,0,1,1,0,0,0,0,0,0,6,0,5.9,6.1
70,A,DEFREL,CESENA,24,6,0,6,0,3,3,0,0,0,0,0,0,6,0,6.63,6.75
73,A,MARILUNGO,CESENA,8,0,0,1,0,0,0,0,0,0,0,0,0,6,0,6.38,6.38
75,A,SUCCI,CESENA,2,1,0,1,0,0,0,0,0,0,0,0,0,6,0,7.25,7.25
816,A,SAVIOLA,VERONA,7,0,0,1,0,2,2,0,0,0,0,0,1,6,0,6.43,6.71
879,A,FERNANDINHO,VERONA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
842,A,GEIJO,UDINESE,4,0,0,1,0,0,0,0,0,0,0,0,0,6,0,6.75,6.75
511,A,LOPEZ N.,VERONA,17,3,0,5,0,1,1,0,0,0,0,0,0,5.97,2,6.76,6.82
399,A,GERVINHO,ROMA,19,1,0,2,0,2,2,0,0,0,0,0,0,5.97,0,6.26,6.37
348,A,BELOTTI,PALERMO,23,1,0,4,0,1,1,0,0,0,1,0,2,5.96,1,6.59,6.63
103,A,PELLISSIER,CHIEVO,14,0,0,3,0,0,0,0,0,0,0,0,1,5.96,0,6.61,6.61
101,A,MEGGIORINI,CHIEVO,22,7,0,3,0,3,3,0,0,0,0,0,2,5.95,0,6.2,6.34
102,A,PALOSCHI,CHIEVO,26,2,0,7,0,1,1,0,0,1,0,0,3,5.94,0,6.6,6.63
453,A,SANSONE N.,SASSUOLO,26,2,1,5,0,3,3,0,0,0,0,0,2,5.94,0,6.44,6.56
74,A,RODRIGUEZ A.,CESENA,15,3,0,3,0,0,0,0,0,0,1,0,3,5.93,0,6.63,6.63
50,A,SAU,CAGLIARI,18,2,0,4,0,2,2,0,0,0,0,0,1,5.92,2,6.53,6.64
513,A,THEREAU,UDINESE,25,3,0,8,0,0,0,0,0,0,0,1,2,5.9,1,6.72,6.72
535,A,JUANITO GOMEZ,VERONA,18,4,0,2,0,2,2,0,0,0,0,0,1,5.89,1,6.11,6.22
452,A,PAVOLETTI,GENOA,9,1,0,1,0,0,0,0,0,0,0,0,0,5.89,0,6.17,6.17
71,A,DJURIC,CESENA,19,1,0,2,0,3,3,0,0,0,0,0,0,5.87,0,6.16,6.32
265,A,KEITA B.,LAZIO,14,2,0,0,0,0,0,0,0,0,0,0,0,5.86,0,5.79,5.79
398,A,DESTRO,MILAN,18,4,0,7,0,0,0,0,0,0,0,0,3,5.86,1,6.92,6.92
100,A,MAXI LOPEZ,TORINO,20,1,0,3,0,1,1,0,0,0,0,0,3,5.85,0,6.28,6.33
450,A,FLOCCARI,SASSUOLO,16,0,0,2,0,0,0,0,0,0,0,0,1,5.84,0,6.22,6.22
371,A,AMAURI,TORINO,15,2,0,1,0,0,0,0,0,0,0,0,0,5.83,0,5.97,5.97
46,A,CAIO RANGEL,CAGLIARI,5,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,5.8,5.8
886,A,GILARDINO,FIORENTINA,5,0,0,0,0,1,1,0,0,0,0,0,0,5.8,0,5.8,6
123,A,MCHEDLIDZE,EMPOLI,12,1,0,1,0,0,0,0,0,0,0,0,1,5.79,0,6,6
