STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
160,P,LAMANNA,GENOA,2,0,0,0,3,0,0,0,1,0,0,0,0,6.75,0,6.75,6.75
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.5,0,5.5,5.5
159,P,BIZZARRI,CHIEVO,12,0,0,0,11,0,0,0,0,0,0,0,0,6.42,0,5.5,5.5
127,P,TATARUSANU,FIORENTINA,5,0,0,0,7,0,0,0,0,0,0,1,0,6.4,0,4.6,4.6
740,P,DIEGO LOPEZ,MILAN,14,1,0,0,19,0,0,0,1,0,0,0,0,6.39,0,5.21,5.21
759,P,KARNEZIS,UDINESE,21,0,0,0,27,0,0,0,1,0,0,0,0,6.36,0,5.21,5.21
158,P,PERIN,GENOA,20,0,1,0,23,0,0,0,1,0,0,0,0,6.35,0,5.3,5.3
431,P,POMINI,SASSUOLO,3,0,0,0,3,0,0,0,0,0,0,0,0,6.33,0,5.33,5.33
3,P,SPORTIELLO,ATALANTA,21,2,0,0,26,0,0,0,2,0,0,0,0,6.31,0,5.31,5.31
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.29,0,5.13,5.13
183,P,HANDANOVIC,INTER,21,1,0,0,29,0,0,0,3,0,0,0,0,6.26,0,5.29,5.29
211,P,BUFFON,JUVENTUS,20,0,0,0,8,0,0,0,1,0,0,0,0,6.25,0,6,6
482,P,BRKIC,CAGLIARI,4,0,0,0,6,0,0,0,0,0,0,0,0,6.25,0,4.75,4.75
51,P,LEALI,CESENA,19,1,1,0,37,0,0,0,2,0,0,0,0,6.21,0,4.5,4.5
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.2,0,5.25,5.25
324,P,SORRENTINO,PALERMO,21,1,0,0,33,0,0,0,0,0,0,0,0,6.19,0,4.6,4.6
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
125,P,NETO,FIORENTINA,16,2,0,0,13,0,0,0,0,0,0,0,0,6.16,0,5.28,5.28
240,P,MARCHETTI,LAZIO,16,5,0,0,18,0,0,0,0,0,0,0,0,6.16,0,4.88,4.88
514,P,RAFAEL,VERONA,13,0,0,0,25,0,0,0,1,0,0,0,0,6.15,0,4.46,4.46
106,P,SEPE,EMPOLI,17,0,0,0,16,0,0,0,0,0,0,1,0,6.15,0,5.09,5.09
712,P,VIVIANO,SAMPDORIA,12,0,0,0,11,0,0,0,0,0,0,0,0,6.13,0,5.21,5.21
376,P,DE SANCTIS,ROMA,19,0,0,0,13,0,0,0,0,0,0,0,0,6.11,0,5.42,5.42
483,P,BENUSSI,VERONA,6,1,0,0,5,0,0,0,0,0,0,0,0,6.08,0,5.17,5.17
1,P,CONSIGLI,SASSUOLO,19,1,1,0,26,0,0,0,1,0,0,0,0,6.08,0,4.79,4.79
213,P,STORARI,JUVENTUS,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
268,P,ABBIATI,MILAN,7,0,0,0,7,0,0,0,0,0,0,0,0,6,0,5,5
296,P,RAFAEL CABRAL,NAPOLI,21,0,0,0,26,0,0,0,0,0,0,0,0,6,0,4.76,4.76
351,P,MIRANTE,PARMA,18,3,0,0,40,0,0,0,1,0,0,0,0,5.94,0,3.81,3.81
29,P,CRAGNO,CAGLIARI,14,0,0,0,26,0,0,0,0,0,0,0,0,5.93,0,4.07,4.07
455,P,PADELLI,TORINO,9,1,0,0,8,0,0,0,0,0,0,0,0,5.78,0,4.83,4.83
379,P,SKORUPSKI,ROMA,2,0,0,0,3,0,0,0,0,0,0,0,0,5.75,0,4.25,4.25
104,P,BASSI,EMPOLI,4,0,0,0,10,0,0,0,0,0,0,0,0,5.75,0,3.25,3.25
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,5.75,0,3.75,3.75
241,P,BERISHA,LAZIO,5,0,0,0,7,0,0,0,0,0,0,0,0,5.7,0,4.3,4.3
27,P,COLOMBI,CAGLIARI,3,1,0,0,8,0,0,0,0,0,0,0,0,5.33,0,2.5,2.5
353,P,IACOBUCCI,PARMA,3,0,0,0,6,0,0,0,0,0,0,0,0,5,0,3,3
349,A,DYBALA,PALERMO,20,1,0,9,0,5,3,2,0,0,2,0,0,6.8,1,8.43,8.68
426,A,GABBIADINI,NAPOLI,15,4,0,8,0,2,2,0,0,0,0,0,4,6.5,2,7.97,8.1
239,A,TEVEZ,JUVENTUS,20,2,0,11,0,5,5,0,0,0,2,0,3,6.5,0,8.4,8.65
424,A,EDER,SAMPDORIA,21,2,0,5,0,3,3,0,0,0,1,0,1,6.38,0,7.19,7.33
399,A,GERVINHO,ROMA,13,1,0,2,0,2,2,0,0,0,0,0,0,6.38,0,6.81,6.96
323,A,ZAPATA D.,NAPOLI,7,1,0,4,0,0,0,0,0,0,0,0,1,6.36,1,8,8
319,A,INSIGNE,NAPOLI,10,0,0,1,0,2,2,0,0,0,0,0,0,6.35,0,6.65,6.85
236,A,GIOVINCO,JUVENTUS,3,0,0,0,0,0,0,0,0,0,0,0,0,6.33,0,6.33,6.33
454,A,ZAZA,SASSUOLO,16,8,0,7,0,1,1,0,0,0,1,0,1,6.25,0,7.5,7.56
510,A,DI NATALE,UDINESE,18,4,0,9,0,2,2,0,0,0,0,0,2,6.25,0,7.64,7.75
824,A,BONAZZOLI,INTER,2,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,6.25
826,A,EL HAMDAOUI,FIORENTINA,2,0,0,1,0,0,0,0,0,0,0,0,0,6.25,0,7.75,7.75
853,A,VALZANIA,CESENA,2,1,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6,6
874,A,COP,CAGLIARI,2,0,0,1,0,0,0,0,0,0,0,0,1,6.25,0,7.75,7.75
427,A,OKAKA,SAMPDORIA,21,3,0,3,0,1,1,0,0,0,0,0,1,6.24,0,6.6,6.64
318,A,HIGUAIN,NAPOLI,21,1,0,10,0,3,3,0,0,2,2,0,6,6.24,1,7.64,7.79
292,A,MENEZ,MILAN,21,1,0,6,0,1,1,0,0,0,6,0,4,6.21,1,7.9,7.95
47,A,IBARBO,ROMA,13,4,1,2,0,2,2,0,0,0,0,0,0,6.19,0,6.42,6.58
709,A,OSVALDO,INTER,8,1,0,5,0,1,1,0,0,0,0,0,1,6.19,0,8,8.13
403,A,TOTTI,ROMA,14,4,0,2,0,4,3,1,0,0,2,0,0,6.18,1,6.89,7.18
480,A,QUAGLIARELLA,TORINO,21,2,0,7,0,1,1,0,0,0,1,0,3,6.17,0,7.26,7.31
816,A,SAVIOLA,VERONA,6,0,0,1,0,2,2,0,0,0,0,0,1,6.17,0,6.67,7
153,A,BABACAR,FIORENTINA,14,2,0,5,0,0,0,0,0,0,0,0,3,6.14,1,7.14,7.14
811,A,CODA M.,PARMA,8,1,0,2,0,1,1,0,0,0,0,0,0,6.13,0,6.81,6.94
49,A,PINILLA,ATALANTA,13,3,0,4,0,0,0,0,0,1,0,0,3,6.12,0,6.69,6.69
238,A,MORATA,JUVENTUS,15,1,1,4,0,1,1,0,0,0,0,0,0,6.1,0,6.8,6.87
449,A,BERARDI,SASSUOLO,17,8,1,3,0,5,4,1,0,1,3,0,0,6.09,0,6.68,6.97
182,A,MATRI,GENOA,16,2,0,7,0,2,2,0,0,1,0,0,3,6.06,1,7.13,7.25
