STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
158,P,PERIN,GENOA,14,0,0,0,12,0,0,0,1,0,0,0,0,6.68,0,6.04,6.04
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.5,0,5.17,5.17
431,P,POMINI,SASSUOLO,1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
712,P,VIVIANO,SAMPDORIA,6,0,0,0,2,0,0,0,0,0,0,0,0,6.5,0,6.17,6.17
759,P,KARNEZIS,UDINESE,14,0,0,0,18,0,0,0,1,0,0,0,0,6.43,0,5.36,5.36
159,P,BIZZARRI,CHIEVO,5,0,0,0,2,0,0,0,0,0,0,0,0,6.4,0,6,6
211,P,BUFFON,JUVENTUS,13,0,0,0,4,0,0,0,1,0,0,0,0,6.38,0,6.31,6.31
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.33,0,5.33,5.33
125,P,NETO,FIORENTINA,14,1,0,0,11,0,0,0,0,0,0,0,0,6.32,0,5.5,5.5
324,P,SORRENTINO,PALERMO,14,1,0,0,22,0,0,0,0,0,0,0,0,6.32,0,4.71,4.71
406,P,ROMERO,SAMPDORIA,8,0,0,0,9,0,0,0,1,0,0,0,0,6.31,0,5.56,5.56
106,P,SEPE,EMPOLI,10,0,0,0,11,0,0,0,0,0,0,1,0,6.3,0,5,5
268,P,ABBIATI,MILAN,7,0,0,0,7,0,0,0,0,0,0,0,0,6.29,0,5.29,5.29
3,P,SPORTIELLO,ATALANTA,14,1,0,0,15,0,0,0,2,0,0,0,0,6.25,0,5.57,5.57
