STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
159,P,BIZZARRI,CHIEVO,4,0,0,0,2,0,0,0,0,0,0,0,0,6.75,0,6.25,6.25
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,6.75,0,4.75,4.75
158,P,PERIN,GENOA,13,0,0,0,12,0,0,0,1,0,0,0,0,6.69,0,6,6
3,P,SPORTIELLO,ATALANTA,13,0,0,0,13,0,0,0,2,0,0,0,0,6.58,0,6.04,6.04
431,P,POMINI,SASSUOLO,1,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
759,P,KARNEZIS,UDINESE,13,1,0,0,17,0,0,0,1,0,0,0,0,6.46,0,5.35,5.35
406,P,ROMERO,SAMPDORIA,7,0,0,0,8,0,0,0,1,0,0,0,0,6.36,0,5.64,5.64
211,P,BUFFON,JUVENTUS,13,0,0,0,4,0,0,0,1,0,0,0,0,6.35,0,6.27,6.27
376,P,DE SANCTIS,ROMA,11,0,0,0,6,0,0,0,0,0,0,0,0,6.32,0,5.77,5.77
712,P,VIVIANO,SAMPDORIA,7,0,0,0,2,0,0,0,0,0,0,0,0,6.29,0,6,6
740,P,DIEGO LOPEZ,MILAN,6,1,0,0,10,0,0,0,1,0,0,0,0,6.25,0,5,5
125,P,NETO,FIORENTINA,14,2,0,0,11,0,0,0,0,0,0,0,0,6.25,0,5.39,5.39
324,P,SORRENTINO,PALERMO,13,1,0,0,20,0,0,0,0,0,0,0,0,6.23,0,4.65,4.65
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.17,0,5.17,5.17
183,P,HANDANOVIC,INTER,13,0,0,0,19,0,0,0,3,0,0,0,0,6.15,0,5.38,5.38
51,P,LEALI,CESENA,11,0,1,0,18,0,0,0,1,0,0,0,0,6.14,0,4.68,4.68
514,P,RAFAEL,VERONA,11,0,0,0,18,0,0,0,1,0,0,0,0,6.14,0,4.77,4.77
457,P,GILLET,TORINO,9,0,0,0,11,0,0,0,0,0,0,0,0,6.11,0,4.89,4.89
106,P,SEPE,EMPOLI,9,0,0,0,9,0,0,0,0,0,0,1,0,6.11,0,4.89,4.89
1,P,CONSIGLI,SASSUOLO,12,1,0,0,15,0,0,0,1,0,0,0,0,6.04,0,5,5
27,P,COLOMBI,CAGLIARI,2,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4.5,4.5
