STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,6.75,0,4.75,4.75
158,P,PERIN,GENOA,20,0,1,0,23,0,0,0,1,0,0,0,0,6.55,0,5.5,5.5
127,P,TATARUSANU,FIORENTINA,5,0,0,0,7,0,0,0,0,0,0,1,0,6.5,0,4.7,4.7
431,P,POMINI,SASSUOLO,3,0,0,0,3,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
3,P,SPORTIELLO,ATALANTA,21,2,0,0,26,0,0,0,2,0,0,0,0,6.48,0,5.48,5.48
159,P,BIZZARRI,CHIEVO,12,0,0,0,11,0,0,0,0,0,0,0,0,6.38,0,5.46,5.46
482,P,BRKIC,CAGLIARI,4,0,0,0,6,0,0,0,0,0,0,0,0,6.38,0,4.88,4.88
740,P,DIEGO LOPEZ,MILAN,14,1,0,0,19,0,0,0,1,0,0,0,0,6.36,0,5.18,5.18
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.35,0,5.4,5.4
211,P,BUFFON,JUVENTUS,20,0,0,0,8,0,0,0,1,0,0,0,0,6.35,0,6.1,6.1
183,P,HANDANOVIC,INTER,21,1,0,0,29,0,0,0,3,0,0,0,0,6.31,0,5.33,5.33
759,P,KARNEZIS,UDINESE,21,1,0,0,27,0,0,0,1,0,0,0,0,6.31,0,5.14,5.14
160,P,LAMANNA,GENOA,2,0,0,0,3,0,0,0,1,0,0,0,0,6.25,0,6.25,6.25
324,P,SORRENTINO,PALERMO,21,1,0,0,33,0,0,0,0,0,0,0,0,6.21,0,4.62,4.62
712,P,VIVIANO,SAMPDORIA,12,0,0,0,11,0,0,0,0,0,0,0,0,6.21,0,5.29,5.29
125,P,NETO,FIORENTINA,16,2,0,0,13,0,0,0,0,0,0,0,0,6.19,0,5.31,5.31
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.17,0,5.17,5.17
106,P,SEPE,EMPOLI,17,0,0,0,16,0,0,0,0,0,0,1,0,6.15,0,5.09,5.09
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.13,0,4.96,4.96
376,P,DE SANCTIS,ROMA,19,0,0,0,13,0,0,0,0,0,0,0,0,6.11,0,5.42,5.42
514,P,RAFAEL,VERONA,13,0,0,0,25,0,0,0,1,0,0,0,0,6.08,0,4.38,4.38
1,P,CONSIGLI,SASSUOLO,19,1,1,0,26,0,0,0,1,0,0,0,0,6.08,0,4.79,4.79
213,P,STORARI,JUVENTUS,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
240,P,MARCHETTI,LAZIO,16,5,0,0,18,1,1,0,0,0,0,0,0,6,0,4.72,4.78
483,P,BENUSSI,VERONA,6,1,0,0,5,0,0,0,0,0,0,0,0,6,0,5.08,5.08
296,P,RAFAEL CABRAL,NAPOLI,21,0,0,0,26,0,0,0,0,0,0,0,0,5.95,0,4.71,4.71
268,P,ABBIATI,MILAN,7,0,0,0,7,0,0,0,0,0,0,0,0,5.93,0,4.93,4.93
351,P,MIRANTE,PARMA,18,3,0,0,40,0,0,0,1,0,0,0,0,5.92,0,3.78,3.78
51,P,LEALI,CESENA,19,1,1,0,37,0,0,0,2,0,0,0,0,5.84,0,4.13,4.13
455,P,PADELLI,TORINO,9,1,0,0,8,0,0,0,0,0,0,0,0,5.78,0,4.83,4.83
379,P,SKORUPSKI,ROMA,2,0,0,0,3,0,0,0,0,0,0,0,0,5.75,0,4.25,4.25
104,P,BASSI,EMPOLI,4,0,0,0,10,0,0,0,0,0,0,0,0,5.75,0,3.25,3.25
241,P,BERISHA,LAZIO,5,0,0,0,7,0,0,0,0,0,0,0,0,5.7,0,4.3,4.3
29,P,CRAGNO,CAGLIARI,14,0,0,0,26,0,0,0,0,0,0,0,0,5.68,0,3.82,3.82
27,P,COLOMBI,CAGLIARI,3,1,0,0,8,0,0,0,0,0,0,0,0,5.5,0,2.67,2.67
353,P,IACOBUCCI,PARMA,3,0,0,0,6,0,0,0,0,0,0,0,0,5.17,0,3.17,3.17
239,A,TEVEZ,JUVENTUS,20,2,0,11,0,2,2,0,0,0,2,0,3,6.63,0,8.53,8.63
349,A,DYBALA,PALERMO,20,1,0,9,0,5,5,0,0,0,2,0,0,6.55,1,8.18,8.43
236,A,GIOVINCO,JUVENTUS,3,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,6.5,6.5
399,A,GERVINHO,ROMA,13,1,0,2,0,2,2,0,0,0,0,0,0,6.42,0,6.85,7
510,A,DI NATALE,UDINESE,18,4,0,9,0,2,2,0,0,0,0,0,2,6.39,0,7.78,7.89
480,A,QUAGLIARELLA,TORINO,21,2,0,7,0,1,1,0,0,0,1,0,3,6.38,0,7.48,7.52
426,A,GABBIADINI,NAPOLI,15,4,0,8,0,2,2,0,0,0,0,0,4,6.33,2,7.8,7.93
103,A,PELLISSIER,CHIEVO,8,0,0,3,0,0,0,0,0,0,0,0,1,6.31,0,7.44,7.44
811,A,CODA M.,PARMA,8,1,0,2,0,1,1,0,0,0,0,0,0,6.31,0,7,7.13
238,A,MORATA,JUVENTUS,15,1,1,4,0,0,0,0,0,0,0,0,0,6.3,0,7,7
403,A,TOTTI,ROMA,14,4,0,2,0,4,4,0,0,0,2,0,0,6.29,1,7,7.29
47,A,IBARBO,ROMA,13,4,1,2,0,2,2,0,0,0,0,0,0,6.27,0,6.5,6.65
449,A,BERARDI,SASSUOLO,17,8,1,3,0,4,4,0,0,1,3,0,0,6.26,0,6.85,7.09
73,A,MARILUNGO,CESENA,8,0,0,1,0,0,0,0,0,0,0,0,0,6.25,0,6.63,6.63
874,A,COP,CAGLIARI,2,0,0,1,0,0,0,0,0,0,0,0,1,6.25,0,7.75,7.75
424,A,EDER,SAMPDORIA,21,2,0,5,0,2,2,0,0,0,1,0,1,6.24,0,7.05,7.14
323,A,ZAPATA D.,NAPOLI,8,1,0,4,0,0,0,0,0,0,0,0,1,6.19,1,7.63,7.63
401,A,LJAJIC,ROMA,17,0,0,6,0,2,2,0,0,1,1,0,0,6.15,2,7.21,7.32
318,A,HIGUAIN,NAPOLI,21,1,0,10,0,4,4,0,0,2,2,0,6,6.14,1,7.55,7.74
427,A,OKAKA,SAMPDORIA,21,3,0,3,0,1,1,0,0,0,0,0,1,6.14,0,6.5,6.55
153,A,BABACAR,FIORENTINA,14,2,0,5,0,0,0,0,0,0,0,0,3,6.14,1,7.14,7.14
50,A,SAU,CAGLIARI,14,2,0,4,0,1,1,0,0,0,0,0,1,6.11,2,6.89,6.96
513,A,THEREAU,UDINESE,20,3,0,7,0,0,0,0,0,0,0,0,2,6.08,1,7.05,7.05
290,A,EL SHAARAWY,MILAN,14,2,0,1,0,3,3,0,0,0,0,0,0,6.07,0,6.21,6.43
454,A,ZAZA,SASSUOLO,16,8,0,7,0,1,1,0,0,0,1,0,1,6.06,0,7.31,7.38
348,A,BELOTTI,PALERMO,16,1,0,4,0,1,1,0,0,0,1,0,2,6.03,1,6.94,7
309,A,CALLEJON,NAPOLI,21,1,0,9,0,1,1,0,0,0,0,0,2,6.02,0,7.29,7.33
538,A,TONI,VERONA,21,1,0,4,0,2,2,0,0,1,2,0,1,6.02,1,6.71,6.81
709,A,OSVALDO,INTER,8,1,0,5,0,1,1,0,0,0,0,0,1,6,0,7.81,7.94
879,A,FERNANDINHO,VERONA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
881,A,VERDE,ROMA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
886,A,GILARDINO,FIORENTINA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
826,A,EL HAMDAOUI,FIORENTINA,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,7.5,7.5
837,A,PUSCAS,INTER,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
838,A,HARASLIN,PARMA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
535,A,JUANITO GOMEZ,VERONA,12,1,0,1,0,0,0,0,0,0,0,0,0,6,1,6.21,6.21
293,A,NIANG,GENOA,4,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5.75,5.75
453,A,SANSONE N.,SASSUOLO,21,1,1,3,0,2,2,0,0,0,0,0,1,5.98,0,6.33,6.43
182,A,MATRI,GENOA,16,2,0,7,0,3,3,0,0,1,0,0,3,5.97,1,7.03,7.22
49,A,PINILLA,ATALANTA,14,3,0,4,0,0,0,0,0,1,0,0,3,5.96,0,6.5,6.5
