STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
293,A,NIANG,GENOA,16,3,0,5,0,1,1,0,0,0,0,0,3,6.28,0,7.13,7.19
424,A,EDER,SAMPDORIA,30,4,0,8,0,2,2,0,0,0,1,0,2,6.27,2,7.1,7.17
238,A,MORATA,JUVENTUS,28,6,1,8,0,1,1,0,0,0,0,0,2,6.27,0,6.98,7.02
73,A,MARILUNGO,CESENA,8,0,0,1,0,0,0,0,0,0,0,0,0,6.25,0,6.63,6.63
426,A,GABBIADINI,NAPOLI,31,5,0,15,0,3,3,0,0,0,0,0,5,6.24,2,7.61,7.71
103,A,PELLISSIER,CHIEVO,21,0,0,6,0,1,1,0,0,0,1,0,2,6.21,2,7.21,7.26
811,A,CODA M.,PARMA,17,2,0,2,0,1,1,0,0,0,0,0,0,6.21,0,6.5,6.56
153,A,BABACAR,FIORENTINA,18,2,0,7,0,1,1,0,0,1,0,0,4,6.17,1,7.11,7.17
452,A,PAVOLETTI,GENOA,15,3,0,7,0,0,0,0,0,0,0,0,0,6.17,0,7.47,7.47
122,A,MACCARONE,EMPOLI,34,4,0,9,0,6,6,0,0,0,1,0,3,6.16,1,6.99,7.16
290,A,EL SHAARAWY,MILAN,16,2,0,3,0,3,3,0,0,0,0,0,1,6.13,0,6.63,6.81
535,A,JUANITO GOMEZ,VERONA,25,7,0,6,0,3,3,0,0,0,0,0,1,6.12,2,6.7,6.82
881,A,VERDE,ROMA,5,0,0,0,0,2,2,0,0,0,0,0,0,6.1,0,6.1,6.5
209,A,ICARDI,INTER,35,4,0,18,0,5,5,0,0,1,4,0,8,6.09,2,7.83,7.97
101,A,MEGGIORINI,CHIEVO,29,8,0,4,0,4,4,0,0,0,0,0,3,6.09,0,6.36,6.5
266,A,KLOSE,LAZIO,31,5,0,13,0,4,4,0,0,0,0,0,3,6.08,0,7.26,7.39
397,A,BORRIELLO,GENOA,6,1,0,0,0,2,2,0,0,0,0,0,0,6.08,0,6,6.33
323,A,ZAPATA D.,NAPOLI,14,2,0,6,0,1,1,0,0,0,0,0,2,6.07,2,7.29,7.36
318,A,HIGUAIN,NAPOLI,37,5,0,15,0,5,5,0,0,4,3,0,6,6.03,1,7.09,7.23
49,A,PINILLA,ATALANTA,24,8,1,8,0,2,2,0,0,1,1,0,3,6.02,1,6.81,6.9
427,A,OKAKA,SAMPDORIA,31,6,0,4,0,2,2,0,0,0,0,0,2,6,0,6.29,6.35
401,A,LJAJIC,ROMA,29,1,0,7,0,2,2,0,0,1,1,0,0,6,2,6.71,6.78
402,A,SANABRIA,ROMA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
879,A,FERNANDINHO,VERONA,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,5.83,5.83
826,A,EL HAMDAOUI,FIORENTINA,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,7.5,7.5
709,A,OSVALDO,INTER,8,1,0,5,0,1,1,0,0,0,0,0,1,6,0,7.81,7.94
719,A,ROSSETI,ATALANTA,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
923,A,ROSSO,TORINO,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
70,A,DEFREL,CESENA,34,7,0,9,0,2,2,0,0,0,0,0,0,5.99,0,6.68,6.74
399,A,GERVINHO,ROMA,23,1,0,2,0,3,3,0,0,0,0,0,0,5.98,0,6.22,6.35
348,A,BELOTTI,PALERMO,31,3,0,5,0,1,1,0,0,1,1,0,3,5.97,1,6.4,6.44
887,A,ETO'O,SAMPDORIA,17,1,0,2,0,2,2,0,0,0,0,0,0,5.97,1,6.29,6.41
886,A,GILARDINO,FIORENTINA,13,0,0,4,0,2,2,0,0,0,0,0,0,5.96,0,6.88,7.04
513,A,THEREAU,UDINESE,36,3,0,10,0,0,0,0,0,0,0,1,2,5.96,2,6.69,6.69
264,A,DJORDJEVIC,LAZIO,23,2,0,8,0,1,1,0,0,0,0,0,2,5.96,0,6.96,7
100,A,MAXI LOPEZ,TORINO,29,3,0,9,0,1,1,0,0,0,0,0,4,5.95,2,6.83,6.86
47,A,IBARBO,ROMA,21,5,1,2,0,3,3,0,0,0,0,0,0,5.95,0,6.07,6.21
373,A,CASSANO,PARMA,19,1,0,4,0,2,2,0,0,0,1,0,1,5.95,0,6.71,6.82
