STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
482,P,BRKIC,CAGLIARI,4,0,0,0,6,0,0,0,0,0,0,0,0,6.75,0,5.25,5.25
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.5,0,5.17,5.17
127,P,TATARUSANU,FIORENTINA,5,0,0,0,7,0,0,0,0,0,0,1,0,6.5,0,4.7,4.7
160,P,LAMANNA,GENOA,2,0,0,0,3,0,0,0,1,0,0,0,0,6.5,0,6.5,6.5
158,P,PERIN,GENOA,20,0,1,0,23,0,0,0,1,0,0,0,0,6.45,0,5.4,5.4
324,P,SORRENTINO,PALERMO,21,1,0,0,33,0,0,0,0,0,0,0,0,6.38,0,4.79,4.79
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.35,0,5.4,5.4
211,P,BUFFON,JUVENTUS,20,0,0,0,8,0,0,0,1,0,0,0,0,6.35,0,6.1,6.1
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.33,0,5.33,5.33
759,P,KARNEZIS,UDINESE,21,0,0,0,27,0,0,0,1,0,0,0,0,6.33,0,5.19,5.19
712,P,VIVIANO,SAMPDORIA,11,0,0,0,11,0,0,0,0,0,0,0,0,6.32,0,5.32,5.32
740,P,DIEGO LOPEZ,MILAN,14,1,0,0,19,0,0,0,1,0,0,0,0,6.29,0,5.11,5.11
268,P,ABBIATI,MILAN,7,0,0,0,7,0,0,0,0,0,0,0,0,6.29,0,5.29,5.29
106,P,SEPE,EMPOLI,17,0,0,0,16,0,0,0,0,0,0,1,0,6.29,0,5.24,5.24
159,P,BIZZARRI,CHIEVO,12,0,0,0,11,0,0,0,0,0,0,0,0,6.29,0,5.38,5.38
183,P,HANDANOVIC,INTER,21,1,0,0,29,0,0,0,3,0,0,0,0,6.29,0,5.31,5.31
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,6.25,0,4.25,4.25
3,P,SPORTIELLO,ATALANTA,21,2,0,0,26,0,0,0,2,0,0,0,0,6.24,0,5.24,5.24
125,P,NETO,FIORENTINA,16,1,0,0,13,0,0,0,0,0,0,0,0,6.22,0,5.38,5.38
240,P,MARCHETTI,LAZIO,16,4,0,0,18,0,0,0,0,0,0,0,0,6.22,0,4.97,4.97
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.21,0,5.04,5.04
483,P,BENUSSI,VERONA,6,1,0,0,5,0,0,0,0,0,0,0,0,6.17,0,5.25,5.25
431,P,POMINI,SASSUOLO,3,0,0,0,3,0,0,0,0,0,0,0,0,6.17,0,5.17,5.17
1,P,CONSIGLI,SASSUOLO,19,1,1,0,26,0,0,0,1,0,0,0,0,6.16,0,4.87,4.87
376,P,DE SANCTIS,ROMA,19,0,0,0,13,0,0,0,0,0,0,0,0,6.11,0,5.42,5.42
379,P,SKORUPSKI,ROMA,2,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4.5,4.5
514,P,RAFAEL,VERONA,13,0,0,0,25,0,0,0,1,0,0,0,0,6,0,4.31,4.31
213,P,STORARI,JUVENTUS,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,5
51,P,LEALI,CESENA,19,0,1,0,37,0,0,0,2,0,0,0,0,5.97,0,4.29,4.29
296,P,RAFAEL CABRAL,NAPOLI,21,0,0,0,26,0,0,0,0,0,0,0,0,5.95,0,4.71,4.71
455,P,PADELLI,TORINO,9,1,0,0,8,0,0,0,0,0,0,0,0,5.83,0,4.89,4.89
351,P,MIRANTE,PARMA,18,3,0,0,40,0,0,0,1,0,0,0,0,5.75,0,3.61,3.61
29,P,CRAGNO,CAGLIARI,14,0,0,0,26,0,0,0,0,0,0,0,0,5.71,0,3.86,3.86
353,P,IACOBUCCI,PARMA,3,0,0,0,6,0,0,0,0,0,0,0,0,5.67,0,3.67,3.67
104,P,BASSI,EMPOLI,4,0,0,0,10,0,0,0,0,0,0,0,0,5.63,0,3.13,3.13
27,P,COLOMBI,CAGLIARI,3,1,0,0,8,0,0,0,0,0,0,0,0,5.5,0,2.67,2.67
241,P,BERISHA,LAZIO,5,0,0,0,7,0,0,0,0,0,0,0,0,5.5,0,4.1,4.1
349,A,DYBALA,PALERMO,20,0,0,9,0,2,2,0,0,0,2,0,0,6.92,1,8.57,8.68
239,A,TEVEZ,JUVENTUS,20,2,0,11,0,5,5,0,0,0,2,0,3,6.67,0,8.57,8.82
426,A,GABBIADINI,NAPOLI,14,4,0,8,0,2,2,0,0,0,0,0,4,6.54,2,8.11,8.25
510,A,DI NATALE,UDINESE,18,4,0,9,0,2,2,0,0,0,0,0,2,6.53,0,7.92,8.03
323,A,ZAPATA D.,NAPOLI,4,0,0,4,0,0,0,0,0,0,0,0,1,6.5,1,9.5,9.5
824,A,BONAZZOLI,INTER,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,6.5,6.5
826,A,EL HAMDAOUI,FIORENTINA,1,0,0,1,0,0,0,0,0,0,0,0,0,6.5,0,9.5,9.5
874,A,COP,CAGLIARI,2,0,0,1,0,0,0,0,0,0,0,0,1,6.5,0,8,8
403,A,TOTTI,ROMA,14,4,0,2,0,4,4,0,0,0,2,0,0,6.46,1,7.18,7.46
399,A,GERVINHO,ROMA,13,1,0,2,0,3,3,0,0,0,0,0,0,6.42,0,6.85,7.08
427,A,OKAKA,SAMPDORIA,20,3,0,3,0,1,1,0,0,0,0,0,1,6.42,0,6.8,6.85
424,A,EDER,SAMPDORIA,21,1,0,5,0,3,3,0,0,0,1,0,1,6.38,0,7.21,7.36
318,A,HIGUAIN,NAPOLI,21,1,0,10,0,4,4,0,0,2,2,0,6,6.36,1,7.76,7.95
319,A,INSIGNE,NAPOLI,10,0,0,1,0,0,0,0,0,0,0,0,0,6.35,0,6.65,6.65
538,A,TONI,VERONA,21,1,0,4,0,2,2,0,0,1,2,0,1,6.29,1,6.98,7.07
236,A,GIOVINCO,JUVENTUS,2,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,6.25
709,A,OSVALDO,INTER,8,1,0,5,0,2,2,0,0,0,0,0,1,6.25,0,8.06,8.31
