STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
185,P,CARRIZO,INTER,1,0,0,0,1,0,0,0,0,0,0,1,0,7,0,4,4
761,P,GOLLINI,VERONA,2,0,0,0,4,0,0,0,0,0,0,0,0,6.75,0,4.75,4.75
158,P,PERIN,GENOA,26,0,1,0,30,0,0,0,1,0,0,0,0,6.52,0,5.44,5.44
160,P,LAMANNA,GENOA,3,0,0,0,3,0,0,0,2,0,0,0,0,6.5,0,7.5,7.5
431,P,POMINI,SASSUOLO,3,0,0,0,3,0,0,0,0,0,0,0,0,6.5,0,5.5,5.5
3,P,SPORTIELLO,ATALANTA,28,3,0,0,38,0,0,0,2,0,0,0,0,6.39,0,5.2,5.2
211,P,BUFFON,JUVENTUS,26,0,0,0,13,0,0,0,1,0,0,0,0,6.37,0,5.98,5.98
712,P,VIVIANO,SAMPDORIA,19,2,0,0,16,0,0,0,0,0,0,0,0,6.37,0,5.47,5.47
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.35,0,5.4,5.4
125,P,NETO,FIORENTINA,20,2,0,0,20,0,0,0,0,0,0,0,0,6.33,0,5.28,5.28
159,P,BIZZARRI,CHIEVO,19,1,0,0,15,0,0,0,0,0,0,0,0,6.32,0,5.5,5.5
759,P,KARNEZIS,UDINESE,27,1,0,0,36,0,0,0,1,0,0,0,0,6.31,0,5.07,5.07
183,P,HANDANOVIC,INTER,27,1,0,0,35,0,0,0,3,0,0,0,0,6.26,0,5.28,5.28
740,P,DIEGO LOPEZ,MILAN,20,2,1,0,28,0,0,0,1,0,0,0,0,6.25,0,4.9,4.9
324,P,SORRENTINO,PALERMO,28,1,0,0,41,0,0,0,0,0,0,0,0,6.23,0,4.75,4.75
127,P,TATARUSANU,FIORENTINA,8,0,0,0,11,0,0,0,0,0,0,1,0,6.19,0,4.56,4.56
106,P,SEPE,EMPOLI,24,0,0,0,20,0,0,0,0,0,0,1,0,6.19,0,5.27,5.27
52,P,AGLIARDI,CESENA,3,0,0,0,4,0,0,0,0,0,0,0,0,6.17,0,4.83,4.83
76,P,BARDI,CHIEVO,9,0,0,0,15,0,0,0,2,0,0,0,0,6.17,0,5.17,5.17
457,P,GILLET,TORINO,12,0,0,0,14,0,0,0,0,0,0,0,0,6.13,0,4.96,4.96
1,P,CONSIGLI,SASSUOLO,26,1,1,0,40,0,0,0,1,0,0,0,0,6.12,0,4.63,4.63
376,P,DE SANCTIS,ROMA,26,0,0,0,18,0,0,0,0,0,0,0,0,6.1,0,5.4,5.4
240,P,MARCHETTI,LAZIO,22,5,1,0,19,1,1,0,0,0,0,0,0,6.09,0,5.07,5.11
482,P,BRKIC,CAGLIARI,11,0,0,0,19,0,0,0,0,0,0,0,0,6.09,0,4.36,4.36
514,P,RAFAEL,VERONA,13,0,0,0,25,0,0,0,1,0,0,0,0,6.08,0,4.38,4.38
455,P,PADELLI,TORINO,16,2,0,0,16,0,0,0,1,0,0,0,0,6.03,0,5.16,5.16
268,P,ABBIATI,MILAN,8,0,0,0,7,0,0,0,0,0,0,0,0,6,0,5.13,5.13
213,P,STORARI,JUVENTUS,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5.5,5.5
351,P,MIRANTE,PARMA,22,3,1,0,43,0,0,0,1,0,0,0,0,5.98,0,4.05,4.05
