STATISTICHE UFFICIALI 2014/2015,,,,,,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Codice,Ruolo,Calciatore,Squadra,P,Amm,Esp,Gf,Gs,assist,As,Af,Rp,R-,R+,Aut,Gv,Media Voto,Gp,FantaMedia,FantaMedia+
185,P,CARRIZO,INTER,1,0,0,0,1,0,0,0,0,0,0,1,0,6.5,0,3.5,3.5
158,P,PERIN,GENOA,32,0,1,0,38,0,0,0,1,0,0,0,0,6.47,0,5.34,5.34
213,P,STORARI,JUVENTUS,5,0,0,0,4,0,0,0,0,0,0,0,0,6.4,0,5.6,5.6
431,P,POMINI,SASSUOLO,4,0,0,0,4,0,0,0,0,0,0,0,0,6.38,0,5.38,5.38
712,P,VIVIANO,SAMPDORIA,28,3,0,0,30,0,0,0,0,0,0,0,0,6.38,0,5.25,5.25
211,P,BUFFON,JUVENTUS,33,0,0,0,20,0,0,0,2,0,0,0,0,6.36,0,5.94,5.94
268,P,ABBIATI,MILAN,10,0,0,0,8,0,0,0,0,0,0,0,0,6.35,0,5.55,5.55
52,P,AGLIARDI,CESENA,10,0,0,0,19,0,0,0,0,0,0,0,0,6.35,0,4.45,4.45
406,P,ROMERO,SAMPDORIA,10,1,0,0,12,0,0,0,1,0,0,0,0,6.35,0,5.4,5.4
324,P,SORRENTINO,PALERMO,35,1,0,0,51,0,0,0,0,0,0,0,0,6.34,0,4.87,4.87
759,P,KARNEZIS,UDINESE,37,1,0,0,51,0,0,0,1,0,0,0,0,6.31,0,5,5
159,P,BIZZARRI,CHIEVO,28,1,0,0,24,0,0,0,0,0,0,0,0,6.3,0,5.43,5.43
76,P,BARDI,CHIEVO,10,0,0,0,17,0,0,0,2,0,0,0,0,6.3,0,5.2,5.2
127,P,TATARUSANU,FIORENTINA,9,0,0,0,11,0,0,0,0,0,0,1,0,6.28,0,4.83,4.83
240,P,MARCHETTI,LAZIO,30,4,2,0,29,0,0,0,0,0,0,0,0,6.27,0,5.17,5.17
241,P,BERISHA,LAZIO,10,0,0,0,9,0,0,0,1,0,0,0,0,6.25,0,5.65,5.65
